#(carId,StartTime,RoadId...)
(10098,2,5014)
(10099,2,5007)
(10100,12,5068)
(10101,5,5088)
(10102,1,5088)
(10103,13,5004)
(10104,41,5007,5022,5035,5048,5062,5077)
(10105,41,5065)
(10106,12,5029)
(10107,41,5050)
(10108,46,5041)
(10109,25,5046)
(10110,41,5095)
(10111,24,5088)
(10112,6,5093)
(10113,41,5050)
(10114,26,5046)
(10115,2,5008)
(10116,9,5069)
(10117,8,5095)
(10118,41,5096)
(10119,41,5050)
(10120,2,5068)
(10121,3,5025)
(10122,24,5093)
(10123,41,5025)
(10124,41,5055)
(10125,3,5025)
(10126,24,5063)
(10127,24,5003)
(10128,17,5023)
(10129,1,5044)
(10130,24,5024)
(10131,41,5066)
(10132,2,5010)
(10133,24,5054)
(10134,2,5007)
(10135,24,5025)
(10136,41,5005)
(10137,24,5028)
(10138,13,5012)
(10139,24,5062)
(10140,2,5067)
(10141,18,5022)
(10142,24,5007,5022,5035,5048,5062,5077,5090)
(10143,3,5083)
(10144,24,5013)
(10145,12,5093)
(10146,24,5051)
(10147,8,5025)
(10148,13,5002)
(10149,24,5069)
(10150,3,5051)
(10151,5,5023)
(10152,12,5005)
(10153,24,5025)
(10154,41,5001)
(10155,24,5000)
(10156,12,5062)
(10157,14,5001)
(10158,9,5079)
(10159,12,5077)
(10160,24,5012)
(10161,41,5001)
(10162,12,5029)
(10163,1,5092)
(10164,5,5049)
(10165,7,5050)
(10166,43,5097)
(10167,4,5012)
(10168,10,5039)
(10169,12,5088)
(10170,13,5052)
(10171,24,5011)
(10172,7,5022)
(10173,4,5012)
(10174,5,5064)
(10175,41,5024)
(10176,10,5086)
(10177,41,5007,5022,5035,5048,5062,5077,5090,5098,5099,5100,5101,5102,5103,5104)
(10178,41,5005)
(10179,12,5059)
(10180,24,5048)
(10181,12,5094)
(10182,9,5077)
(10183,24,5013)
(10184,12,5081)
(10185,17,5023)
(10186,12,5039)
(10187,6,5010)
(10188,1,5007,5022,5035,5048,5062,5077,5084,5085)
(10189,24,5038)
(10190,10,5025)
(10191,7,5046)
(10192,1,5086)
(10193,2,5054)
(10194,41,5007)
(10195,24,5091)
(10196,41,5028)
(10197,12,5041)
(10198,24,5039)
(10199,1,5001)
(10200,2,5065)
(10201,12,5049)
(10202,7,5069)
(10203,4,5048)
(10204,49,5077)
(10205,12,5097)
(10206,4,5092)
(10207,4,5062)
(10208,4,5097)
(10209,4,5065)
(10210,24,5035)
(10211,2,5008)
(10212,25,5041)
(10213,3,5062)
(10214,12,5006)
(10215,9,5040)
(10216,12,5062)
(10217,41,5007)
(10218,25,5055)
(10219,7,5002)
(10220,1,5014)
(10221,9,5051)
(10222,10,5096)
(10223,12,5035)
(10224,4,5009)
(10225,6,5091)
(10226,5,5004)
(10227,12,5081)
(10228,41,5014)
(10229,1,5094)
(10230,12,5082)
(10231,13,5004)
(10232,41,5096)
(10233,1,5023)
(10234,13,5050)
(10235,12,5097)
(10236,41,5006)
(10237,10,5041)
(10238,12,5024)
(10239,1,5001)
(10240,1,5005)
(10241,13,5012)
(10242,41,5009)
(10243,4,5022)
(10244,41,5090)
(10245,25,5079)
(10246,24,5008)
(10247,8,5003)
(10248,6,5027)
(10249,41,5065)
(10250,5,5024)
(10251,9,5039)
(10252,13,5002)
(10253,5,5054)
(10254,1,5023)
(10255,41,5028)
(10256,24,5028)
(10257,8,5011)
(10258,13,5014)
(10259,24,5049)
(10260,24,5007)
(10261,13,5094)
(10262,24,5088)
(10263,13,5037)
(10264,41,5008)
(10265,6,5013)
(10266,15,5086)
(10267,24,5039)
(10268,24,5001)
(10269,13,5027)
(10270,41,5000)
(10271,10,5032)
(10272,41,5091)
(10273,41,5062)
(10274,7,5040)
(10275,1,5064)
(10276,13,5029)
(10277,41,5048)
(10278,13,5035)
(10279,41,5088)
(10280,24,5008)
(10281,24,5094)
(10282,11,5022)
(10283,24,5008)
(10284,9,5032)
(10285,10,5006)
(10286,13,5083)
(10287,13,5013)
(10288,46,5041)
(10289,41,5008)
(10290,13,5068)
(10291,24,5068)
(10292,24,5040)
(10293,41,5049)
(10294,24,5038)
(10295,41,5081)
(10296,24,5005)
(10297,41,5007)
(10298,41,5046)
(10299,41,5039)
(10300,13,5095)
(10301,13,5081)
(10302,13,5027)
(10303,7,5014)
(10304,17,5004)
(10305,2,5095)
(10306,13,5049)
(10307,43,5097)
(10308,24,5011)
(10309,1,5011)
(10310,3,5050)
(10311,24,5010)
(10312,1,5040)
(10313,24,5064)
(10314,8,5027)
(10315,41,5052)
(10316,7,5032)
(10317,2,5082)
(10318,24,5081)
(10319,46,5041)
(10320,41,5066)
(10321,7,5090)
(10322,24,5095)
(10323,41,5003)
(10324,24,5013)
(10325,8,5035)
(10326,10,5062)
(10327,41,5048)
(10328,13,5024)
(10329,3,5096)
(10330,41,5067)
(10331,2,5032)
(10332,45,5004)
(10333,13,5091)
(10334,5,5069)
(10335,24,5069)
(10336,4,5049)
(10337,13,5005)
(10338,41,5044)
(10339,3,5014)
(10340,24,5050)
(10341,24,5064)
(10342,41,5014)
(10343,24,5048)
(10344,24,5088)
(10345,1,5054)
(10346,24,5063)
(10347,24,5062)
(10348,6,5097)
(10349,41,5052)
(10350,41,5092)
(10351,24,5081)
(10352,41,5096)
(10353,24,5096)
(10354,13,5055)
(10355,13,5005)
(10356,24,5040)
(10357,41,5007,5022,5035,5048,5062,5077,5090,5098,5099,5100,5101)
(10358,3,5025)
(10359,13,5062)
(10360,4,5081)
(10361,13,5097)
(10362,24,5065)
(10363,1,5054)
(10364,24,5025)
(10365,13,5027)
(10366,43,5012)
(10367,9,5028)
(10368,43,5002)
(10369,3,5064)
(10370,24,5093)
(10371,41,5055)
(10372,24,5086)
(10373,1,5092)
(10374,41,5096)
(10375,42,5086)
(10376,1,5048)
(10377,7,5022)
(10378,13,5051)
(10379,13,5095)
(10380,41,5027)
(10381,13,5067)
(10382,1,5010)
(10383,5,5024)
(10384,24,5067)
(10385,24,5032)
(10386,24,5008)
(10387,10,5066)
(10388,3,5097)
(10389,29,5052)
(10390,24,5081)
(10391,1,5067)
(10392,13,5097)
(10393,17,5004)
(10394,4,5013)
(10395,26,5046)
(10396,24,5066)
(10397,3,5083)
(10398,1,5088)
(10399,10,5055)
(10400,13,5077)
(10401,13,5039)
(10402,13,5032)
(10403,24,5050)
(10404,41,5049)
(10405,14,5001)
(10406,13,5038)
(10407,6,5065)
(10408,29,5052)
(10409,25,5041)
(10410,25,5051)
(10411,17,5023)
(10412,41,5038)
(10413,25,5049)
(10414,25,5027)
(10415,13,5083)
(10416,13,5046)
(10417,13,5024)
(10418,41,5090)
(10419,25,5051)
(10420,13,5003)
(10421,13,5093)
(10422,13,5040)
(10423,1,5083)
(10424,5,5092)
(10425,25,5007,5022,5035,5048,5062,5077,5090,5098,5099,5100,5101,5102,5103,5104)
(10426,13,5005)
(10427,41,5006)
(10428,41,5024)
(10429,14,5046)
(10430,6,5003)
(10431,2,5088)
(10432,13,5000)
(10433,33,5023)
(10434,17,5052)
(10435,41,5037)
(10436,41,5011)
(10437,8,5088)
(10438,43,5002)
(10439,46,5079)
(10440,41,5096)
(10441,1,5005)
(10442,3,5069)
(10443,13,5008)
(10444,41,5038)
(10445,4,5068)
(10446,47,5041)
(10447,13,5048)
(10448,7,5082)
(10449,2,5040)
(10450,9,5004)
(10451,13,5065)
(10452,41,5049)
(10453,13,5032)
(10454,2,5055)
(10455,25,5069)
(10456,5,5064)
(10457,13,5083)
(10458,25,5007,5022,5035,5048,5062)
(10459,25,5079)
(10460,13,5097)
(10461,15,5086)
(10462,25,5093)
(10463,3,5038)
(10464,17,5004)
(10465,6,5069)
(10466,25,5067)
(10467,25,5093)
(10468,8,5068)
(10469,7,5024)
(10470,25,5011)
(10471,9,5005)
(10472,41,5001)
(10473,8,5014)
(10474,10,5000)
(10475,41,5093)
(10476,14,5046)
(10477,13,5062)
(10478,41,5091)
(10479,2,5039)
(10480,13,5027)
(10481,25,5025)
(10482,41,5051)
(10483,25,5051)
(10484,6,5048)
(10485,25,5000)
(10486,13,5037)
(10487,1,5029)
(10488,25,5005)
(10489,1,5055)
(10490,13,5065)
(10491,41,5049)
(10492,15,5086)
(10493,25,5092)
(10494,10,5032)
(10495,13,5002)
(10496,6,5009)
(10497,41,5049)
(10498,13,5064)
(10499,1,5007)
(10500,13,5023)
(10501,6,5082)
(10502,25,5095)
(10503,1,5002)
(10504,25,5038)
(10505,41,5064)
(10506,13,5062)
(10507,41,5050)
(10508,41,5078)
(10509,1,5037)
(10510,13,5000)
(10511,26,5046)
(10512,29,5004)
(10513,41,5081)
(10514,3,5024)
(10515,41,5003)
(10516,13,5055)
(10517,41,5025)
(10518,25,5095)
(10519,5,5090)
(10520,41,5005)
(10521,1,5093)
(10522,7,5022)
(10523,13,5037)
(10524,2,5096)
(10525,41,5051)
(10526,25,5037)
(10527,13,5024)
(10528,25,5059)
(10529,16,5086)
(10530,50,5022)
(10531,41,5051)
(10532,13,5066)
(10533,25,5095)
(10534,13,5027)
(10535,1,5095)
(10536,43,5082)
(10537,13,5078)
(10538,1,5052)
(10539,25,5040)
(10540,9,5077)
(10541,41,5010)
(10542,2,5067)
(10543,11,5050)
(10544,25,5082)
(10545,7,5011)
(10546,41,5013)
(10547,41,5083)
(10548,25,5010)
(10549,41,5009)
(10550,10,5001)
(10551,6,5055)
(10552,25,5095)
(10553,41,5038)
(10554,1,5001)
(10555,25,5090)
(10556,5,5069)
(10557,25,5097)
(10558,9,5050)
(10559,25,5065)
(10560,13,5024)
(10561,25,5011)
(10562,49,5041)
(10563,13,5066)
(10564,13,5091)
(10565,13,5063)
(10566,25,5035)
(10567,13,5093)
(10568,25,5097)
(10569,13,5032)
(10570,41,5029)
(10571,41,5006)
(10572,13,5032)
(10573,7,5040)
(10574,45,5023)
(10575,25,5038)
(10576,1,5000)
(10577,29,5004)
(10578,10,5002)
(10579,25,5064)
(10580,13,5038)
(10581,9,5035)
(10582,1,5091)
(10583,8,5011)
(10584,13,5044)
(10585,51,5077)
(10586,41,5046)
(10587,25,5037)
(10588,25,5050)
(10589,25,5035)
(10590,1,5093)
(10591,41,5054)
(10592,3,5011)
(10593,25,5093)
(10594,25,5051)
(10595,41,5006)
(10596,10,5055)
(10597,50,5022)
(10598,41,5049)
(10599,1,5068)
(10600,41,5000)
(10601,1,5081)
(10602,13,5039)
(10603,8,5003)
(10604,1,5050)
(10605,3,5095)
(10606,25,5012)
(10607,10,5013)
(10608,13,5050)
(10609,41,5095)
(10610,5,5027)
(10611,41,5051)
(10612,13,5024)
(10613,41,5013)
(10614,1,5025)
(10615,13,5014)
(10616,13,5049)
(10617,7,5065)
(10618,25,5088)
(10619,1,5005)
(10620,13,5044)
(10621,25,5063)
(10622,13,5083)
(10623,13,5063)
(10624,46,5079)
(10625,41,5006)
(10626,2,5041)
(10627,41,5078)
(10628,25,5039)
(10629,4,5065)
(10630,10,5090)
(10631,25,5010)
(10632,7,5011)
(10633,13,5007)
(10634,25,5008)
(10635,25,5082)
(10636,25,5001)
(10637,13,5081)
(10638,41,5065)
(10639,25,5064)
(10640,10,5025)
(10641,41,5051)
(10642,49,5041)
(10643,25,5090)
(10644,25,5049)
(10645,25,5094)
(10646,42,5086)
(10647,6,5092)
(10648,41,5065)
(10649,8,5054)
(10650,25,5082)
(10651,1,5028)
(10652,25,5064)
(10653,13,5083)
(10654,5,5008)
(10655,6,5081)
(10656,13,5068)
(10657,45,5052)
(10658,13,5067)
(10659,6,5095)
(10660,13,5063)
(10661,43,5002)
(10662,41,5013)
(10663,25,5069)
(10664,5,5007)
(10665,2,5092)
(10666,10,5048)
(10667,13,5037)
(10668,13,5092)
(10669,4,5094)
(10670,25,5082)
(10671,25,5092)
(10672,42,5063)
(10673,25,5035)
(10674,5,5069)
(10675,41,5014)
(10676,1,5007,5022,5035,5041,5042,5043,5051,5058,5059,5060)
(10677,5,5091)
(10678,25,5079)
(10679,9,5069)
(10680,9,5009)
(10681,41,5007,5022,5035,5048,5062)
(10682,5,5066)
(10683,25,5000)
(10684,25,5014)
(10685,4,5022)
(10686,14,5007,5022,5035,5048,5062,5070,5071,5072,5073,5074,5075)
(10687,41,5011)
(10688,25,5094)
(10689,41,5096)
(10690,25,5007,5022,5035,5048,5062,5077,5090,5098,5099,5100,5101,5102,5103)
(10691,13,5000)
(10692,13,5082)
(10693,13,5037)
(10694,4,5024)
(10695,25,5059)
(10696,51,5077)
(10697,10,5039)
(10698,41,5029)
(10699,13,5024)
(10700,41,5096)
(10701,2,5038)
(10702,41,5028)
(10703,7,5050)
(10704,41,5093)
(10705,1,5054)
(10706,9,5095)
(10707,25,5078)
(10708,13,5092)
(10709,41,5050)
(10710,13,5003)
(10711,41,5044)
(10712,25,5082)
(10713,25,5078)
(10714,41,5059)
(10715,41,5067)
(10716,13,5067)
(10717,25,5028)
(10718,14,5007,5022,5035,5041,5042,5043,5051,5058,5059,5060)
(10719,13,5011)
(10720,41,5010)
(10721,10,5086)
(10722,41,5094)
(10723,1,5051)
(10724,4,5028)
(10725,7,5029)
(10726,41,5025)
(10727,1,5059)
(10728,41,5064)
(10729,41,5069)
(10730,13,5095)
(10731,41,5059)
(10732,6,5090)
(10733,7,5086)
(10734,5,5029)
(10735,1,5023)
(10736,25,5059)
(10737,2,5048)
(10738,20,5022)
(10739,2,5027)
(10740,14,5001)
(10741,41,5039)
(10742,13,5055)
(10743,1,5032)
(10744,25,5063)
(10745,2,5069)
(10746,5,5006)
(10747,25,5054)
(10748,13,5048)
(10749,13,5062)
(10750,2,5011)
(10751,10,5007,5022,5035,5048,5062,5070,5071,5072,5073,5074,5075)
(10752,25,5025)
(10753,20,5022)
(10754,25,5090)
(10755,7,5088)
(10756,25,5081)
(10757,2,5005)
(10758,41,5008)
(10759,17,5023)
(10760,1,5001)
(10761,14,5001)
(10762,42,5063)
(10763,5,5097)
(10764,25,5097)
(10765,41,5001)
(10766,29,5052)
(10767,41,5000)
(10768,13,5083)
(10769,25,5059)
(10770,41,5078)
(10771,49,5041)
(10772,13,5005)
(10773,20,5022)
(10774,2,5096)
(10775,5,5046)
(10776,25,5059)
(10777,13,5049)
(10778,1,5027)
(10779,5,5001)
(10780,3,5063)
(10781,13,5059)
(10782,5,5059)
(10783,13,5055)
(10784,13,5005)
(10785,41,5024)
(10786,3,5051)
(10787,25,5035)
(10788,10,5038)
(10789,1,5024)
(10790,25,5007,5022,5035,5048,5062,5077,5084,5085,5086,5087)
(10791,13,5035)
(10792,5,5039)
(10793,41,5000)
(10794,13,5093)
(10795,4,5012)
(10796,5,5082)
(10797,45,5052)
(10798,10,5000)
(10799,3,5011)
(10800,13,5093)
(10801,1,5009)
(10802,25,5008)
(10803,41,5010)
(10804,13,5096)
(10805,2,5028)
(10806,13,5005)
(10807,1,5025)
(10808,13,5008)
(10809,41,5083)
(10810,1,5014)
(10811,10,5088)
(10812,25,5090)
(10813,50,5022)
(10814,25,5002)
(10815,10,5046)
(10816,25,5078)
(10817,13,5091)
(10818,41,5065)
(10819,9,5052)
(10820,25,5009)
(10821,13,5059)
(10822,25,5083)
(10823,25,5028)
(10824,25,5055)
(10825,1,5086)
(10826,41,5008)
(10827,25,5063)
(10828,1,5062)
(10829,13,5078)
(10830,8,5024)
(10831,1,5066)
(10832,25,5006)
(10833,13,5039)
(10834,13,5013)
(10835,13,5079)
(10836,1,5081)
(10837,4,5029)
(10838,1,5082)
(10839,25,5000)
(10840,25,5012)
(10841,41,5027)
(10842,25,5066)
(10843,7,5054)
(10844,41,5055)
(10845,7,5013)
(10846,8,5013)
(10847,53,5041)
(10848,3,5032)
(10849,13,5035)
(10850,25,5038)
(10851,10,5007,5022,5035,5048,5056)
(10852,25,5083)
(10853,13,5062)
(10854,13,5044)
(10855,25,5068)
(10856,10,5011)
(10857,25,5051)
(10858,7,5044)
(10859,25,5086)
(10860,1,5041)
(10861,1,5010)
(10862,25,5025)
(10863,33,5023)
(10864,7,5067)
(10865,13,5040)
(10866,2,5039)
(10867,17,5023)
(10868,25,5001)
(10869,13,5078)
(10870,25,5044)
(10871,9,5082)
(10872,41,5049)
(10873,14,5046)
(10874,14,5007,5022,5035,5048,5062,5077,5084,5085)
(10875,25,5007,5022,5035,5048,5062,5077)
(10876,52,5077)
(10877,7,5064)
(10878,13,5097)
(10879,25,5049)
(10880,42,5050)
(10881,25,5044)
(10882,1,5093)
(10883,25,5005)
(10884,25,5000)
(10885,25,5048)
(10886,1,5091)
(10887,5,5054)
(10888,1,5088)
(10889,42,5066)
(10890,13,5003)
(10891,1,5094)
(10892,42,5065)
(10893,1,5025)
(10894,25,5078)
(10895,5,5006)
(10896,8,5097)
(10897,13,5059)
(10898,13,5029)
(10899,13,5035)
(10900,7,5022)
(10901,42,5067)
(10902,13,5050)
(10903,17,5004)
(10904,1,5001)
(10905,42,5008)
(10906,42,5091)
(10907,9,5086)
(10908,13,5093)
(10909,8,5055)
(10910,16,5046)
(10911,1,5096)
(10912,25,5001)
(10913,9,5007)
(10914,13,5069)
(10915,2,5044)
(10916,13,5044)
(10917,42,5049)
(10918,1,5092)
(10919,13,5044)
(10920,2,5000)
(10921,25,5029)
(10922,13,5040)
(10923,13,5049)
(10924,3,5051)
(10925,42,5094)
(10926,25,5059)
(10927,42,5007)
(10928,42,5064)
(10929,42,5051)
(10930,42,5014)
(10931,25,5008)
(10932,13,5068)
(10933,7,5069)
(10934,25,5006)
(10935,25,5091)
(10936,13,5035)
(10937,5,5023)
(10938,5,5014)
(10939,7,5002)
(10940,7,5095)
(10941,42,5051)
(10942,1,5014)
(10943,2,5027)
(10944,13,5014)
(10945,8,5062)
(10946,42,5010)
(10947,1,5086)
(10948,42,5037)
(10949,13,5078)
(10950,1,5013)
(10951,1,5003)
(10952,42,5091)
(10953,25,5040)
(10954,10,5029)
(10955,13,5095)
(10956,9,5023)
(10957,25,5048)
(10958,42,5064)
(10959,1,5079)
(10960,27,5079)
(10961,7,5003)
(10962,13,5096)
(10963,42,5091)
(10964,1,5038)
(10965,42,5065)
(10966,7,5038)
(10967,42,5062)
(10968,9,5069)
(10969,13,5007)
(10970,42,5010)
(10971,1,5023)
(10972,25,5048)
(10973,1,5032)
(10974,6,5028)
(10975,25,5078)
(10976,1,5004)
(10977,13,5078)
(10978,45,5004)
(10979,43,5086)
(10980,1,5081)
(10981,25,5068)
(10982,25,5035)
(10983,25,5049)
(10984,1,5052)
(10985,25,5069)
(10986,13,5081)
(10987,4,5022)
(10988,1,5093)
(10989,1,5028)
(10990,13,5044)
(10991,13,5049)
(10992,13,5024)
(10993,13,5040)
(10994,5,5044)
(10995,5,5013)
(10996,43,5086)
(10997,17,5004)
(10998,13,5077)
(10999,25,5050)
(11000,13,5051)
(11001,10,5091)
(11002,1,5013)
(11003,1,5068)
(11004,14,5007,5022,5035,5048,5062,5070,5071)
(11005,13,5038)
(11006,13,5041)
(11007,13,5055)
(11008,25,5097)
(11009,1,5083)
(11010,42,5000)
(11011,13,5028)
(11012,5,5052)
(11013,6,5014)
(11014,25,5097)
(11015,42,5014)
(11016,13,5068)
(11017,20,5022)
(11018,8,5041)
(11019,14,5007,5022,5035,5048,5062,5070,5071,5072,5073,5074,5082)
(11020,42,5066)
(11021,2,5063)
(11022,6,5062)
(11023,9,5011)
(11024,13,5009)
(11025,44,5086)
(11026,25,5093)
(11027,25,5032)
(11028,42,5050)
(11029,2,5096)
(11030,25,5007)
(11031,25,5014)
(11032,28,5079)
(11033,42,5013)
(11034,1,5001)
(11035,3,5067)
(11036,25,5068)
(11037,5,5063)
(11038,46,5079)
(11039,2,5009)
(11040,5,5023)
(11041,8,5013)
(11042,25,5090)
(11043,1,5040)
(11044,3,5027)
(11045,25,5083)
(11046,42,5024)
(11047,5,5027)
(11048,53,5041)
(11049,3,5083)
(11050,25,5040)
(11051,25,5029)
(11052,13,5038)
(11053,3,5079)
(11054,13,5048)
(11055,1,5024)
(11056,25,5059)
(11057,1,5014)
(11058,13,5067)
(11059,25,5097)
(11060,13,5079)
(11061,25,5032)
(11062,13,5090)
(11063,42,5007,5022,5035,5048,5062,5077,5090,5098,5099,5100,5101)
(11064,3,5009)
(11065,9,5004)
(11066,13,5044)
(11067,5,5001)
(11068,13,5038)
(11069,13,5012)
(11070,8,5022)
(11071,13,5050)
(11072,5,5003)
(11073,10,5037)
(11074,16,5046)
(11075,25,5050)
(11076,8,5025)
(11077,7,5050)
(11078,10,5012)
(11079,25,5007,5022,5035,5048,5062,5070,5071,5072)
(11080,42,5029)
(11081,25,5032)
(11082,13,5006)
(11083,1,5067)
(11084,13,5039)
(11085,28,5097)
(11086,1,5004)
(11087,42,5006)
(11088,25,5082)
(11089,13,5000)
(11090,6,5064)
(11091,42,5028)
(11092,42,5005)
(11093,3,5024)
(11094,42,5008)
(11095,28,5097)
(11096,13,5065)
(11097,42,5081)
(11098,1,5088)
(11099,6,5006)
(11100,28,5097)
(11101,1,5039)
(11102,25,5091)
(11103,25,5007,5022,5035,5048,5062,5077)
(11104,3,5038)
(11105,2,5062)
(11106,25,5001)
(11107,1,5094)
(11108,25,5096)
(11109,5,5008)
(11110,42,5049)
(11111,2,5039)
(11112,1,5032)
(11113,13,5032)
(11114,25,5002)
(11115,2,5028)
(11116,25,5077)
(11117,3,5009)
(11118,5,5059)
(11119,13,5055)
(11120,6,5094)
(11121,43,5097)
(11122,17,5004)
(11123,43,5082)
(11124,33,5023)
(11125,8,5079)
(11126,13,5000)
(11127,42,5040)
(11128,13,5025)
(11129,42,5055)
(11130,3,5090)
(11131,7,5065)
(11132,13,5094)
(11133,42,5066)
(11134,5,5088)
(11135,13,5029)
(11136,13,5054)
(11137,8,5065)
(11138,1,5001)
(11139,42,5083)
(11140,27,5077)
(11141,1,5032)
(11142,42,5064)
(11143,13,5027)
(11144,13,5067)
(11145,25,5007)
(11146,25,5025)
(11147,10,5032)
(11148,6,5090)
(11149,1,5008)
(11150,42,5009)
(11151,2,5078)
(11152,1,5025)
(11153,28,5046)
(11154,3,5091)
(11155,42,5068)
(11156,42,5037)
(11157,13,5049)
(11158,47,5079)
(11159,6,5038)
(11160,1,5083)
(11161,42,5054)
(11162,25,5083)
(11163,42,5044)
(11164,13,5044)
(11165,11,5022)
(11166,7,5082)
(11167,7,5051)
(11168,10,5041)
(11169,33,5023)
(11170,25,5055)
(11171,17,5023)
(11172,13,5002)
(11173,25,5062)
(11174,7,5094)
(11175,42,5051)
(11176,25,5025)
(11177,13,5009)
(11178,5,5023)
(11179,2,5008)
(11180,42,5007,5022,5035,5048,5062,5070,5071,5072,5073,5074,5082,5088,5089)
(11181,6,5083)
(11182,5,5001)
(11183,7,5013)
(11184,42,5083)
(11185,25,5083)
(11186,42,5013)
(11187,42,5049)
(11188,5,5065)
(11189,25,5063)
(11190,9,5077)
(11191,42,5066)
(11192,42,5090)
(11193,13,5000)
(11194,25,5051)
(11195,25,5065)
(11196,13,5093)
(11197,42,5003)
(11198,42,5007,5022,5035,5048,5062,5070,5071,5072,5073,5074)
(11199,13,5032)
(11200,5,5050)
(11201,42,5088)
(11202,2,5063)
(11203,13,5059)
(11204,25,5091)
(11205,42,5040)
(11206,9,5029)
(11207,4,5097)
(11208,13,5012)
(11209,13,5039)
(11210,45,5004)
(11211,28,5046)
(11212,25,5062)
(11213,1,5051)
(11214,25,5092)
(11215,47,5079)
(11216,7,5039)
(11217,3,5096)
(11218,13,5077)
(11219,25,5032)
(11220,25,5094)
(11221,3,5069)
(11222,25,5002)
(11223,43,5097)
(11224,13,5032)
(11225,13,5067)
(11226,25,5005)
(11227,42,5027)
(11228,42,5055)
(11229,42,5039)
(11230,13,5006)
(11231,8,5051)
(11232,7,5055)
(11233,1,5029)
(11234,43,5063)
(11235,50,5022)
(11236,42,5046)
(11237,25,5091)
(11238,29,5004)
(11239,13,5049)
(11240,42,5005)
(11241,25,5001)
(11242,13,5066)
(11243,13,5094)
(11244,30,5022)
(11245,1,5077)
(11246,25,5003)
(11247,13,5028)
(11248,42,5059)
(11249,42,5001)
(11250,13,5010)
(11251,1,5050)
(11252,3,5011)
(11253,25,5012)
(11254,9,5013)
(11255,25,5005)
(11256,1,5013)
(11257,5,5023)
(11258,9,5067)
(11259,13,5007)
(11260,5,5035)
(11261,13,5054)
(11262,25,5032)
(11263,1,5059)
(11264,53,5041)
(11265,42,5009)
(11266,13,5003)
(11267,42,5027)
(11268,25,5014)
(11269,10,5002)
(11270,53,5041)
(11271,13,5055)
(11272,43,5054)
(11273,25,5049)
(11274,7,5050)
(11275,9,5064)
(11276,9,5062)
(11277,13,5079)
(11278,25,5002)
(11279,44,5086)
(11280,2,5068)
(11281,45,5004)
(11282,13,5095)
(11283,25,5037)
(11284,25,5094)
(11285,13,5041)
(11286,25,5002)
(11287,43,5028)
(11288,7,5013)
(11289,2,5063)
(11290,1,5052)
(11291,17,5004)
(11292,5,5007,5022,5035,5048,5062,5077,5084,5085,5086,5087)
(11293,25,5078)
(11294,6,5005)
(11295,25,5014)
(11296,8,5013)
(11297,17,5004)
(11298,43,5096)
(11299,25,5067)
(11300,13,5069)
(11301,13,5091)
(11302,28,5097)
(11303,25,5044)
(11304,43,5096)
(11305,43,5088)
(11306,25,5006)
(11307,13,5050)
(11308,13,5006)
(11309,45,5052)
(11310,7,5027)
(11311,43,5094)
(11312,43,5037)
(11313,25,5067)
(11314,1,5024)
(11315,13,5068)
(11316,8,5022)
(11317,43,5049)
(11318,1,5038)
(11319,1,5013)
(11320,44,5002)
(11321,9,5039)
(11322,10,5008)
(11323,6,5094)
(11324,25,5007)
(11325,15,5055)
(11326,13,5067)
(11327,33,5023)
(11328,25,5003)
(11329,10,5007)
