#(id,from,to,speed,planTime)
(10201, 34, 2, 6, 4)
(10202, 48, 8, 8, 7)
(10203, 33, 1, 8, 4)
(10204, 49, 11, 2, 3)
(10205, 75, 8, 6, 7)
(10206, 59, 15, 8, 4)
(10207, 41, 1, 8, 4)
(10208, 75, 17, 8, 4)
(10209, 44, 3, 8, 4)
(10210, 25, 75, 4, 3)
(10211, 10, 45, 8, 2)
(10212, 26, 69, 4, 8)
(10213, 41, 1, 8, 3)
(10214, 8, 47, 6, 3)
(10215, 32, 75, 8, 9)
(10216, 41, 7, 6, 8)
(10217, 9, 47, 2, 10)
(10218, 40, 3, 4, 6)
(10219, 4, 71, 8, 5)
(10220, 16, 50, 8, 1)
(10221, 36, 2, 8, 9)
(10222, 71, 25, 8, 10)
(10223, 25, 59, 6, 5)
(10224, 11, 47, 8, 4)
(10225, 58, 9, 8, 6)
(10226, 6, 52, 8, 3)
(10227, 53, 1, 6, 9)
(10228, 16, 69, 2, 10)
(10229, 68, 22, 4, 1)
(10230, 54, 7, 6, 8)
(10231, 6, 59, 6, 6)
(10232, 71, 18, 2, 6)
(10233, 18, 55, 4, 1)
(10234, 35, 2, 6, 7)
(10235, 75, 17, 6, 7)
(10236, 8, 49, 2, 1)
(10237, 26, 68, 8, 10)
(10238, 19, 52, 6, 8)
(10239, 3, 54, 2, 1)
(10240, 7, 50, 8, 1)
(10241, 14, 58, 6, 5)
(10242, 11, 71, 2, 6)
(10243, 17, 71, 8, 2)
(10244, 57, 3, 2, 8)
(10245, 51, 16, 4, 2)
(10246, 10, 48, 4, 5)
(10247, 5, 46, 8, 8)
(10248, 22, 69, 8, 6)
(10249, 44, 2, 2, 2)
(10250, 19, 57, 8, 5)
(10251, 30, 75, 8, 9)
(10252, 4, 68, 6, 9)
(10253, 39, 7, 8, 5)
(10254, 18, 54, 6, 1)
(10255, 23, 75, 2, 9)
(10256, 23, 57, 4, 4)
(10257, 13, 45, 8, 8)
(10258, 16, 49, 6, 3)
(10259, 34, 2, 4, 7)
(10260, 9, 71, 4, 5)
(10261, 68, 16, 6, 2)
(10262, 55, 10, 4, 3)
(10263, 27, 68, 6, 5)
(10264, 10, 59, 2, 7)
(10265, 15, 52, 8, 6)
(10266, 52, 14, 6, 10)
(10267, 30, 71, 4, 9)
(10268, 3, 38, 4, 6)
(10269, 22, 57, 6, 5)
(10270, 2, 54, 2, 3)
(10271, 21, 55, 8, 10)
(10272, 58, 11, 2, 9)
(10273, 41, 7, 2, 10)
(10274, 32, 75, 8, 7)
(10275, 43, 9, 4, 1)
(10276, 24, 59, 6, 4)
(10277, 33, 1, 2, 6)
(10278, 25, 58, 6, 10)
(10279, 55, 21, 2, 5)
(10280, 10, 60, 4, 4)
(10281, 68, 25, 4, 7)
(10282, 17, 49, 8, 9)
(10283, 10, 55, 4, 4)
(10284, 21, 58, 8, 9)
(10285, 8, 58, 8, 10)
(10286, 56, 15, 6, 6)
(10287, 15, 58, 6, 3)
(10288, 26, 75, 2, 4)
(10289, 10, 49, 2, 5)
(10290, 47, 8, 6, 5)
(10291, 47, 12, 4, 2)
(10292, 32, 75, 4, 10)
(10293, 34, 2, 2, 8)
(10294, 28, 75, 4, 8)
(10295, 53, 4, 2, 9)
(10296, 7, 60, 4, 8)
(10297, 9, 69, 2, 8)
(10298, 31, 75, 2, 9)
(10299, 30, 75, 2, 4)
(10300, 69, 22, 6, 10)
(10301, 53, 12, 6, 7)
(10302, 22, 71, 6, 9)
(10303, 16, 71, 8, 7)
(10304, 6, 38, 6, 7)
(10305, 69, 23, 6, 2)
(10306, 34, 2, 6, 10)
(10307, 75, 25, 2, 3)
(10308, 13, 59, 4, 2)
(10309, 13, 46, 6, 1)
(10310, 35, 1, 8, 3)
(10311, 12, 50, 4, 10)
(10312, 32, 75, 2, 1)
(10313, 43, 4, 4, 6)
(10314, 22, 55, 8, 8)
(10315, 37, 1, 2, 8)
(10316, 21, 69, 8, 7)
(10317, 54, 15, 6, 2)
(10318, 53, 4, 4, 7)
(10319, 26, 71, 2, 3)
(10320, 45, 7, 2, 3)
(10321, 57, 3, 8, 7)
(10322, 69, 28, 4, 4)
(10323, 5, 46, 2, 5)
(10324, 15, 58, 4, 7)
(10325, 25, 68, 8, 8)
(10326, 41, 9, 8, 10)
(10327, 33, 1, 2, 9)
(10328, 19, 68, 6, 7)
(10329, 71, 5, 8, 3)
(10330, 46, 8, 2, 3)
(10331, 21, 71, 6, 2)
(10332, 6, 69, 2, 2)
(10333, 58, 6, 6, 3)
(10334, 48, 3, 8, 5)
(10335, 48, 3, 4, 8)
(10336, 34, 1, 8, 4)
(10337, 7, 52, 6, 4)
(10338, 29, 69, 2, 2)
(10339, 16, 55, 8, 3)
(10340, 35, 2, 4, 7)
(10341, 43, 10, 4, 9)
(10342, 16, 49, 2, 2)
(10343, 33, 1, 4, 10)
(10344, 55, 10, 4, 5)
(10345, 39, 6, 8, 1)
(10346, 42, 9, 4, 5)
(10347, 41, 7, 4, 8)
(10348, 75, 4, 8, 6)
(10349, 37, 5, 2, 4)
(10350, 59, 20, 2, 4)
(10351, 53, 11, 4, 8)
(10352, 71, 17, 2, 7)
(10353, 71, 31, 4, 4)
(10354, 40, 1, 6, 3)
(10355, 7, 69, 6, 3)
(10356, 32, 75, 4, 6)
(10357, 1, 68, 2, 10)
(10358, 20, 58, 8, 3)
(10359, 41, 4, 6, 4)
(10360, 53, 9, 8, 4)
(10361, 75, 31, 6, 4)
(10362, 44, 6, 4, 3)
(10363, 39, 6, 8, 1)
(10364, 20, 57, 4, 3)
(10365, 22, 54, 6, 6)
(10366, 14, 68, 2, 6)
(10367, 23, 56, 8, 9)
(10368, 4, 47, 2, 2)
(10369, 43, 10, 8, 3)
(10370, 60, 4, 4, 8)
(10371, 40, 1, 2, 3)
(10372, 52, 14, 4, 9)
(10373, 59, 5, 4, 1)
(10374, 71, 3, 2, 8)
(10375, 52, 9, 2, 6)
(10376, 33, 1, 6, 1)
(10377, 17, 68, 8, 6)
(10378, 36, 2, 6, 8)
(10379, 69, 20, 6, 7)
(10380, 22, 68, 2, 5)
(10381, 46, 11, 6, 5)
(10382, 12, 53, 4, 1)
(10383, 19, 59, 8, 5)
(10384, 46, 5, 4, 9)
(10385, 21, 68, 4, 5)
(10386, 10, 56, 4, 2)
(10387, 45, 7, 8, 10)
(10388, 75, 6, 8, 3)
(10389, 37, 1, 4, 2)
(10390, 53, 21, 4, 6)
(10391, 46, 14, 8, 1)
(10392, 75, 19, 6, 3)
(10393, 6, 50, 6, 2)
(10394, 15, 55, 8, 4)
(10395, 31, 75, 4, 5)
(10396, 45, 7, 4, 9)
(10397, 56, 15, 8, 3)
(10398, 55, 7, 4, 1)
(10399, 40, 8, 8, 10)
(10400, 49, 7, 6, 4)
(10401, 30, 75, 6, 7)
(10402, 21, 54, 6, 5)
(10403, 35, 1, 4, 3)
(10404, 34, 2, 2, 6)
(10405, 3, 38, 6, 9)
(10406, 28, 75, 6, 8)
(10407, 44, 3, 8, 6)
(10408, 37, 2, 4, 9)
(10409, 26, 68, 4, 6)
(10410, 36, 4, 4, 3)
(10411, 18, 51, 6, 7)
(10412, 28, 60, 2, 3)
(10413, 34, 2, 4, 3)
(10414, 22, 58, 4, 4)
(10415, 56, 23, 6, 8)
(10416, 31, 75, 6, 4)
(10417, 19, 56, 6, 6)
(10418, 57, 23, 2, 10)
(10419, 36, 3, 4, 6)
(10420, 5, 47, 6, 3)
(10421, 60, 27, 6, 5)
(10422, 32, 75, 6, 3)
(10423, 56, 20, 4, 1)
(10424, 59, 19, 8, 5)
(10425, 1, 75, 4, 4)
(10426, 7, 57, 6, 3)
(10427, 8, 48, 2, 2)
(10428, 19, 58, 2, 7)
(10429, 31, 75, 6, 4)
(10430, 5, 37, 8, 6)
(10431, 55, 7, 6, 2)
(10432, 2, 75, 6, 9)
(10433, 18, 68, 4, 8)
(10434, 37, 5, 6, 3)
(10435, 27, 75, 2, 4)
(10436, 13, 56, 2, 8)
(10437, 55, 3, 8, 8)
(10438, 4, 37, 2, 1)
(10439, 51, 17, 2, 10)
(10440, 71, 29, 2, 7)
(10441, 7, 45, 2, 1)
(10442, 48, 6, 8, 3)
(10443, 10, 59, 6, 10)
(10444, 28, 60, 2, 2)
(10445, 47, 4, 8, 4)
(10446, 26, 59, 2, 7)
(10447, 33, 1, 6, 8)
(10448, 54, 22, 8, 7)
(10449, 32, 75, 8, 2)
(10450, 6, 55, 8, 7)
(10451, 44, 5, 6, 8)
(10452, 34, 1, 2, 10)
(10453, 21, 54, 6, 4)
(10454, 40, 8, 8, 2)
(10455, 48, 13, 4, 10)
(10456, 43, 6, 8, 5)
(10457, 56, 21, 6, 8)
(10458, 1, 41, 4, 5)
(10459, 51, 1, 4, 6)
(10460, 75, 29, 6, 10)
(10461, 52, 15, 6, 10)
(10462, 60, 2, 4, 9)
(10463, 28, 69, 8, 3)
(10464, 6, 45, 6, 9)
(10465, 48, 4, 8, 6)
(10466, 46, 12, 4, 8)
(10467, 60, 11, 4, 9)
(10468, 47, 8, 8, 8)
(10469, 19, 60, 8, 7)
(10470, 13, 55, 4, 5)
(10471, 7, 40, 8, 9)
(10472, 3, 58, 2, 10)
(10473, 16, 51, 8, 8)
(10474, 2, 57, 8, 10)
(10475, 60, 18, 2, 8)
(10476, 31, 75, 6, 2)
(10477, 41, 3, 6, 3)
(10478, 58, 22, 2, 4)
(10479, 30, 69, 8, 2)
(10480, 22, 69, 6, 10)
(10481, 20, 58, 4, 5)
(10482, 36, 1, 2, 4)
(10483, 36, 4, 4, 9)
(10484, 33, 1, 8, 6)
(10485, 2, 41, 4, 8)
(10486, 27, 68, 6, 5)
(10487, 24, 59, 4, 1)
(10488, 7, 41, 4, 2)
(10489, 40, 3, 4, 1)
(10490, 44, 2, 6, 10)
(10491, 34, 2, 2, 9)
(10492, 52, 6, 6, 5)
(10493, 59, 1, 4, 3)
(10494, 21, 69, 8, 10)
(10495, 4, 42, 6, 3)
(10496, 11, 52, 8, 6)
(10497, 34, 2, 2, 2)
(10498, 43, 4, 6, 10)
(10499, 9, 48, 8, 1)
(10500, 18, 54, 8, 10)
(10501, 54, 12, 8, 6)
(10502, 69, 22, 4, 3)
(10503, 4, 41, 8, 1)
(10504, 28, 71, 4, 2)
(10505, 43, 3, 2, 3)
(10506, 41, 1, 6, 6)
(10507, 35, 3, 2, 4)
(10508, 50, 6, 2, 10)
(10509, 27, 69, 6, 1)
(10510, 2, 52, 6, 9)
(10511, 31, 75, 4, 9)
(10512, 6, 59, 4, 7)
(10513, 53, 3, 2, 2)
(10514, 19, 57, 8, 3)
(10515, 5, 69, 2, 3)
(10516, 40, 5, 6, 4)
(10517, 20, 75, 2, 3)
(10518, 69, 29, 4, 6)
(10519, 57, 14, 8, 5)
(10520, 7, 42, 2, 3)
(10521, 60, 28, 6, 1)
(10522, 17, 50, 8, 6)
(10523, 27, 69, 6, 7)
(10524, 71, 3, 8, 2)
(10525, 36, 4, 2, 4)
(10526, 27, 68, 4, 2)
(10527, 19, 75, 6, 5)
(10528, 38, 1, 4, 2)
(10529, 52, 20, 6, 4)
(10530, 17, 69, 2, 10)
(10531, 36, 1, 2, 2)
(10532, 45, 6, 6, 10)
(10533, 69, 10, 4, 4)
(10534, 22, 55, 6, 3)
(10535, 69, 13, 4, 1)
(10536, 54, 2, 2, 6)
(10537, 50, 13, 6, 6)
(10538, 37, 4, 4, 1)
(10539, 32, 75, 4, 9)
(10540, 49, 8, 8, 9)
(10541, 12, 56, 2, 2)
(10542, 46, 4, 8, 2)
(10543, 35, 2, 8, 10)
(10544, 54, 9, 4, 10)
(10545, 13, 68, 8, 7)
(10546, 15, 60, 2, 5)
(10547, 56, 3, 2, 6)
(10548, 12, 48, 4, 10)
(10549, 11, 48, 2, 4)
(10550, 3, 51, 8, 9)
(10551, 40, 7, 8, 6)
(10552, 69, 3, 4, 3)
(10553, 28, 69, 2, 2)
(10554, 3, 47, 2, 1)
(10555, 57, 22, 4, 6)
(10556, 48, 4, 8, 5)
(10557, 75, 5, 4, 10)
(10558, 35, 1, 8, 9)
(10559, 44, 5, 4, 6)
(10560, 19, 69, 6, 5)
(10561, 13, 68, 4, 5)
(10562, 26, 69, 2, 7)
(10563, 45, 1, 6, 9)
(10564, 58, 11, 6, 8)
(10565, 42, 9, 6, 5)
(10566, 25, 69, 4, 8)
(10567, 60, 2, 6, 9)
(10568, 75, 29, 4, 9)
(10569, 21, 55, 6, 4)
(10570, 24, 69, 2, 4)
(10571, 8, 46, 2, 8)
(10572, 21, 58, 6, 7)
(10573, 32, 75, 8, 7)
(10574, 18, 55, 2, 1)
(10575, 28, 69, 4, 8)
(10576, 2, 36, 8, 1)
(10577, 6, 68, 4, 1)
(10578, 4, 68, 8, 10)
(10579, 43, 3, 4, 2)
(10580, 28, 60, 6, 4)
(10581, 25, 71, 8, 9)
(10582, 58, 17, 4, 1)
(10583, 13, 58, 8, 8)
(10584, 29, 71, 6, 4)
(10585, 49, 1, 2, 8)
(10586, 31, 75, 2, 1)
(10587, 27, 59, 4, 3)
(10588, 35, 1, 4, 8)
(10589, 25, 68, 4, 2)
(10590, 60, 12, 6, 1)
(10591, 39, 2, 2, 5)
(10592, 13, 53, 8, 3)
(10593, 60, 27, 4, 9)
(10594, 36, 3, 4, 4)
(10595, 8, 51, 2, 4)
(10596, 40, 5, 8, 10)
(10597, 17, 57, 2, 9)
(10598, 34, 2, 2, 5)
(10599, 47, 15, 2, 1)
(10600, 2, 39, 2, 9)
(10601, 53, 17, 8, 1)
(10602, 30, 71, 6, 8)
(10603, 5, 69, 8, 8)
(10604, 35, 2, 6, 1)
(10605, 69, 1, 8, 3)
(10606, 14, 54, 4, 9)
(10607, 15, 75, 8, 10)
(10608, 35, 2, 6, 6)
(10609, 69, 16, 2, 4)
(10610, 22, 56, 8, 5)
(10611, 36, 4, 2, 10)
(10612, 19, 59, 6, 8)
(10613, 15, 57, 2, 9)
(10614, 20, 71, 2, 1)
(10615, 16, 71, 6, 10)
(10616, 34, 1, 6, 3)
(10617, 44, 10, 8, 7)
(10618, 55, 17, 4, 8)
(10619, 7, 52, 6, 1)
(10620, 29, 75, 6, 10)
(10621, 42, 6, 4, 2)
(10622, 56, 1, 6, 10)
(10623, 42, 4, 6, 6)
(10624, 51, 11, 2, 7)
(10625, 8, 49, 2, 9)
(10626, 26, 60, 6, 2)
(10627, 50, 6, 2, 6)
(10628, 30, 71, 4, 7)
(10629, 44, 5, 8, 4)
(10630, 57, 24, 8, 10)
(10631, 12, 48, 4, 7)
(10632, 13, 68, 8, 7)
(10633, 9, 44, 6, 6)
(10634, 10, 60, 4, 10)
(10635, 54, 22, 4, 7)
(10636, 3, 68, 4, 9)
(10637, 53, 17, 6, 5)
(10638, 44, 7, 2, 7)
(10639, 43, 4, 4, 5)
(10640, 20, 60, 8, 10)
(10641, 36, 3, 2, 6)
(10642, 26, 58, 2, 6)
(10643, 57, 23, 4, 2)
(10644, 34, 2, 4, 7)
(10645, 68, 15, 4, 2)
(10646, 52, 19, 2, 3)
(10647, 59, 14, 8, 6)
(10648, 44, 10, 2, 2)
(10649, 39, 3, 8, 8)
(10650, 54, 9, 4, 7)
(10651, 23, 57, 8, 1)
(10652, 43, 1, 4, 9)
(10653, 56, 9, 6, 8)
(10654, 10, 43, 8, 5)
(10655, 53, 15, 8, 6)
(10656, 47, 6, 6, 3)
(10657, 37, 2, 2, 4)
(10658, 46, 9, 6, 5)
(10659, 69, 29, 8, 6)
(10660, 42, 9, 6, 8)
(10661, 4, 54, 2, 10)
(10662, 15, 49, 2, 10)
(10663, 48, 12, 4, 4)
(10664, 9, 50, 8, 5)
(10665, 59, 19, 8, 2)
(10666, 33, 1, 8, 10)
(10667, 27, 69, 6, 4)
(10668, 59, 6, 6, 9)
(10669, 68, 28, 8, 3)
(10670, 54, 8, 4, 5)
(10671, 59, 6, 4, 3)
(10672, 42, 10, 2, 7)
(10673, 25, 60, 4, 8)
(10674, 48, 2, 8, 5)
(10675, 16, 56, 2, 7)
(10676, 1, 39, 2, 1)
(10677, 58, 9, 8, 5)
(10678, 51, 16, 4, 10)
(10679, 48, 14, 8, 8)
(10680, 11, 60, 8, 9)
(10681, 1, 41, 2, 2)
(10682, 45, 9, 8, 5)
(10683, 2, 48, 4, 6)
(10684, 16, 55, 4, 3)
(10685, 17, 53, 8, 3)
(10686, 1, 47, 6, 4)
(10687, 13, 51, 2, 5)
(10688, 68, 15, 4, 5)
(10689, 71, 9, 2, 6)
(10690, 1, 71, 4, 10)
(10691, 2, 53, 6, 9)
(10692, 54, 17, 6, 9)
(10693, 27, 68, 6, 6)
(10694, 19, 71, 8, 4)
(10695, 38, 5, 4, 6)
(10696, 49, 12, 2, 5)
(10697, 30, 75, 8, 10)
(10698, 24, 58, 2, 9)
(10699, 19, 55, 6, 5)
(10700, 71, 21, 2, 8)
(10701, 28, 75, 8, 2)
(10702, 23, 69, 2, 2)
(10703, 35, 3, 8, 7)
(10704, 60, 27, 2, 2)
(10705, 39, 2, 2, 1)
(10706, 69, 4, 8, 9)
(10707, 50, 13, 4, 9)
(10708, 59, 1, 6, 8)
(10709, 35, 3, 2, 5)
(10710, 5, 55, 6, 9)
(10711, 29, 75, 2, 7)
(10712, 54, 7, 4, 6)
(10713, 50, 9, 4, 4)
(10714, 38, 3, 2, 10)
(10715, 46, 5, 2, 7)
(10716, 46, 1, 6, 10)
(10717, 23, 57, 4, 10)
(10718, 1, 39, 6, 10)
(10719, 13, 50, 6, 8)
(10720, 12, 55, 2, 3)
(10721, 52, 5, 8, 10)
(10722, 68, 21, 2, 4)
(10723, 36, 2, 8, 1)
(10724, 23, 69, 8, 4)
(10725, 24, 60, 8, 7)
(10726, 20, 59, 2, 4)
(10727, 38, 5, 4, 1)
(10728, 43, 4, 2, 9)
(10729, 48, 1, 2, 9)
(10730, 69, 6, 6, 9)
(10731, 38, 3, 2, 4)
(10732, 57, 18, 8, 6)
(10733, 52, 17, 8, 7)
(10734, 24, 57, 8, 5)
(10735, 18, 59, 4, 1)
(10736, 38, 6, 4, 6)
(10737, 33, 1, 8, 2)
(10738, 17, 55, 6, 9)
(10739, 22, 75, 8, 2)
(10740, 3, 71, 6, 6)
(10741, 30, 69, 2, 8)
(10742, 40, 8, 6, 8)
(10743, 21, 56, 2, 1)
(10744, 42, 3, 4, 6)
(10745, 48, 10, 8, 2)
(10746, 8, 71, 8, 5)
(10747, 39, 7, 4, 7)
(10748, 33, 1, 6, 6)
(10749, 41, 6, 6, 7)
(10750, 13, 68, 6, 2)
(10751, 1, 47, 8, 9)
(10752, 20, 68, 4, 10)
(10753, 17, 60, 6, 5)
(10754, 57, 4, 4, 5)
(10755, 55, 9, 8, 7)
(10756, 53, 16, 4, 3)
(10757, 7, 41, 6, 2)
(10758, 10, 50, 2, 3)
(10759, 18, 75, 6, 9)
(10760, 3, 44, 2, 1)
(10761, 3, 57, 6, 8)
(10762, 42, 5, 2, 1)
(10763, 75, 20, 8, 5)
(10764, 75, 7, 4, 3)
(10765, 3, 58, 2, 7)
(10766, 37, 2, 4, 3)
(10767, 2, 49, 2, 4)
(10768, 56, 7, 6, 6)
(10769, 38, 5, 4, 10)
(10770, 50, 16, 2, 6)
(10771, 26, 68, 2, 3)
(10772, 7, 39, 6, 7)
(10773, 17, 71, 6, 2)
(10774, 71, 24, 8, 2)
(10775, 31, 75, 8, 5)
(10776, 38, 4, 4, 5)
(10777, 34, 1, 6, 4)
(10778, 22, 60, 6, 1)
(10779, 3, 54, 8, 2)
(10780, 42, 9, 8, 3)
(10781, 38, 5, 6, 4)
(10782, 38, 6, 8, 5)
(10783, 40, 1, 6, 8)
(10784, 7, 41, 6, 9)
(10785, 19, 51, 2, 7)
(10786, 36, 4, 8, 3)
(10787, 25, 59, 4, 2)
(10788, 28, 69, 8, 10)
(10789, 19, 58, 6, 1)
(10790, 1, 53, 4, 5)
(10791, 25, 57, 6, 8)
(10792, 30, 75, 8, 5)
(10793, 2, 50, 2, 9)
(10794, 60, 20, 6, 8)
(10795, 14, 46, 8, 4)
(10796, 54, 12, 8, 5)
(10797, 37, 3, 2, 6)
(10798, 2, 53, 8, 10)
(10799, 13, 55, 8, 3)
(10800, 60, 4, 6, 3)
(10801, 11, 60, 6, 1)
(10802, 10, 55, 4, 3)
(10803, 12, 46, 2, 10)
(10804, 71, 3, 6, 9)
(10805, 23, 59, 6, 2)
(10806, 7, 45, 6, 6)
(10807, 20, 60, 4, 1)
(10808, 10, 57, 6, 7)
(10809, 56, 3, 2, 4)
(10810, 16, 54, 6, 1)
(10811, 55, 6, 8, 10)
(10812, 57, 9, 4, 3)
(10813, 17, 55, 2, 3)
(10814, 4, 53, 4, 1)
(10815, 31, 71, 8, 10)
(10816, 50, 16, 4, 4)
(10817, 58, 3, 6, 7)
(10818, 44, 8, 2, 3)
(10819, 37, 4, 8, 7)
(10820, 11, 53, 4, 5)
